Au seeds-chemos,,exp8,,exp9,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
711,0.0899534471148581,711,0.127118966504093,711,0.323884882731365
710,0.0906390325573318,710,0.12753691910075,710,0.323157699581482
709,0.0913039166865885,709,0.127792511495642,709,0.322008914778658
708,0.092462832677011,708,0.12842392279963,708,0.320942557844674
707,0.0926179069898945,707,0.129448453697007,707,0.320507677450089
706,0.0938454940105487,706,0.130279829369662,706,0.319671185860859
705,0.094429494713997,705,0.130726894075797,705,0.319014957181713
704,0.0955181504747399,704,0.131699277732939,704,0.318933807535021
703,0.0962689931904126,703,0.131990025222732,703,0.318117758961637
702,0.0971678102077379,702,0.132869729333573,702,0.3176674063355
701,0.0974635098809378,701,0.134210547063687,701,0.317575536327913
700,0.0988915610875734,700,0.135152217597252,700,0.317714801215427
699,0.0993923684113489,699,0.136064630577576,699,0.317314931376795
698,0.100047365699034,698,0.136561189058318,698,0.317409918205616
697,0.101048246915218,697,0.13747433198778,697,0.317740060872075
696,0.101114501164841,696,0.138771059533928,696,0.318411957969302
695,0.102245189740215,695,0.140181615962574,695,0.31889892971654
694,0.102929572466869,694,0.140772459634448,694,0.31891584227639
693,0.104214766373311,693,0.142165121824265,693,0.319932587124652
692,0.104507303251253,692,0.143264532110781,692,0.320272013689079
691,0.10522831076482,691,0.144752239767011,691,0.321108363125318
690,0.106066826922509,690,0.145891983569122,690,0.322162925224822
689,0.106642820304286,689,0.14709072936699,689,0.32341237773639
688,0.10727975554153,688,0.148611925809287,688,0.324722976700194
687,0.108429887492278,687,0.150002425755368,687,0.325660019849155
686,0.10912512564154,686,0.151242068391422,686,0.32724351448494
685,0.109822345225899,685,0.152883675986688,685,0.328572418264161
684,0.110598519383609,684,0.154503284634638,684,0.330220460103572
683,0.110807245993079,683,0.155779796613866,683,0.331926335652214
682,0.111793648729804,682,0.15734201627617,682,0.333740382678737
681,0.112344165885055,681,0.15894641632502,681,0.335547800636359
680,0.112833582592421,680,0.160687199323092,680,0.337083609695176
679,0.113616439820405,679,0.162627342098121,679,0.33911428438808
678,0.114647168990765,678,0.16439809076346,678,0.341315252979518
677,0.115643220344681,677,0.166489765759962,677,0.3437490146793
676,0.115632342118906,676,0.168252874056061,676,0.345499540348867
675,0.116767341148608,675,0.170038064383124,675,0.348601659961115
674,0.117704656011,674,0.171807246227127,674,0.351051009871718
673,0.118200290417949,673,0.174118833504015,673,0.353912962803273
672,0.11909204181888,672,0.17662263464224,672,0.356864662554124
